Years,Month,Cost,Tax,Revenue,Total Profit,,,,,,,,,,,,,,,,,
2021,January,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,,,,,,,,,,,,,,,
2021,February,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,Sum of Cost,Column Labels,,,,,,,,,,,,,
2021,March,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,,2021,,,,,,,,,,,,2021 Total,Grand Total
2021,April,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,Row Labels,January,February,March,April,May,June,July,August,September,October,November,December,,
2021,May,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,"$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$660,000.00","$660,000.00"
2021,June,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,Grand Total,"$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$55,000.00","$660,000.00","$660,000.00"
2021,July,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,,,,,,,,,,,,,,,
2021,August,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,,,,,,,,,,,,,,,
2021,September,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,,,,,,,,,,,,,,,
2021,October,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,Sum of Tax,Column Labels,,,,,,,,,,,,,
2021,November,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,,2021,,,,,,,,,,,,2021 Total,Grand Total
2021,December,"$55,000.00","$10,000.00","$85,000.00","$20,000.00",,,Row Labels,January,February,March,April,May,June,July,August,September,October,November,December,,
Years,Month,Cost,Tax,Revenue,Total Profit,,,"$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$120,000.00","$120,000.00"
2022,January,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,Grand Total,"$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$10,000.00","$120,000.00","$120,000.00"
2022,February,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,March,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,April,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,May,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,June,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,July,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,August,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,September,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,October,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,November,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
2022,December,"$57,000.00","$11,000.00","$94,000.00","$26,000.00",,,,,,,,,,,,,,,,,
Years,Month,Cost,Tax,Revenue,Total Profit,,,,,,,,,,,,,,,,,
2023,January,"$59,000.00","$12,000.00","$95,000.00","$24,000.00",,,,,,,,,,,,,,,,,
2023,February,"$59,000.00","$12,000.00","$95,000.00","$24,000.00",,,,,,,,,,,,,,,,,
2023,March,"$59,000.00","$12,000.00","$95,000.00","$24,000.00",,,,,,,,,,,,,,,,,
2023,April,"$59,000.00","$12,000.00","$95,000.00","$24,000.00",,,,,,,,,,,,,,,,,
2023,May,"$59,000.00","$12,000.00","$95,000.00","$24,000.00",,,,,,,,,,,,,,,,,
2023,June,"$59,000.00","$12,000.00","$95,000.00","$24,000.00",,,,,,,,,,,,,,,,,
2023,July,"$59,000.00","$12,000.00","$102,000.00","$31,000.00",,,,,,,,,,,,,,,,,
2023,August,"$59,000.00","$12,000.00","$102,000.00","$31,000.00",,,,,,,,,,,,,,,,,
2023,September,"$59,000.00","$12,000.00","$102,000.00","$31,000.00",,,,,,,,,,,,,,,,,
2023,October,"$59,000.00","$12,000.00","$102,000.00","$31,000.00",,,,,,,,,,,,,,,,,
2023,November,"$59,000.00","$12,000.00","$102,000.00","$31,000.00",,,,,,,,,,,,,,,,,
2023,December,"$59,000.00","$12,000.00","$102,000.00","$31,000.00",,,,,,,,,,,,,,,,,
Years,Month,Cost,Tax,Revenue,Total Profit,,,,,,,,,,,,,,,,,
2024,January,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,February,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,March,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,April,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,May,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,June,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,July,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,August,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,September,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,October,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,November,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,December,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
